run	cap	frequency	period
8.000000000000000e+001	9.584490e-006	1.049410e+000	9.529190e-001
8.100000000000000e+001	9.481090e-006	1.036540e+000	9.647520e-001
8.200000000000000e+001	9.160220e-006	1.092880e+000	9.150170e-001
8.300000000000000e+001	9.421280e-006	1.077220e+000	9.283170e-001
8.400000000000000e+001	9.622270e-006	1.041180e+000	9.604490e-001
8.500000000000000e+001	9.307020e-006	1.083500e+000	9.229330e-001
8.600000000000000e+001	1.029110e-005	9.584640e-001	1.043340e+000
8.700000000000000e+001	9.301520e-006	1.062240e+000	9.414070e-001
8.800000000000000e+001	1.015710e-005	9.868870e-001	1.013290e+000
8.900000000000000e+001	1.059050e-005	9.454440e-001	1.057700e+000
9.000000000000000e+001	9.395340e-006	1.062350e+000	9.413070e-001
9.100000000000000e+001	9.882600e-006	1.013790e+000	9.863930e-001
9.200000000000000e+001	1.089890e-005	9.275270e-001	1.078140e+000
9.300000000000000e+001	1.014890e-005	9.962250e-001	1.003790e+000
9.400000000000000e+001	9.520400e-006	1.045870e+000	9.561380e-001
9.500000000000000e+001	9.787130e-006	1.018390e+000	9.819440e-001
9.600000000000000e+001	9.707110e-006	1.024600e+000	9.759870e-001
9.700000000000000e+001	9.400340e-006	1.072770e+000	9.321660e-001
9.800000000000000e+001	9.218760e-006	1.080200e+000	9.257550e-001
9.900000000000000e+001	1.037530e-005	9.722770e-001	1.028510e+000
1.000000000000000e+002	9.614460e-006	1.048200e+000	9.540210e-001
